,Complaint,Complaint Catagory
2025,Comcast Cable,Internet
2026,Complaint Regarding Comcast,Grievance
2027,Intermittent Internet,Internet
2028,Unreliable Connection,Internet
2029,Unreliable Connection,Internet
2030,Comcast Is Awful,Other
2031,Comcast Billing,Billing
2032,Tallahassee Comcast Rates High Without Competition,Billing
2033,60 Day Delay In Cancelling Service Agreement,Network
2034,Unfair Billing Practices,Billing
2035,Internet Speed,Internet
2036,Comcast Internet Issue,Internet
2037,Xfinity Issues,Other
2038,Back To Back Bill,Billing
2039,"Loss Of Signal Several Times A Day, Very Slow Connectivity Very Often, Several Issues With Television Also Not Just Internet",Internet
2040,Poor Service/Paying For Unusable Services,Billing
2041,Scam Concerning Ham License Register Book.,Other
2042,Comcast Bill Doubled Without Notice,Billing
2043,Comcast Complaint,Grievance
2044,"Comcast Bars Hbogo From Streaming To Purchased Device Of My Choosing, Ps4",Other
2045,Internet Services,Internet
2046,Comcast Charges In Violation Of Contract,Billing
2047,Someone At Comcast Added Services Without Me Knowing,Network
2048,Comcast Won'T Pay Me My Refund,Billing
2049,Data Caps For Broadband Internet,Internet
2050,Comcast Had Said I Had A Credit But Then Issued A Regular Bill,Billing
2051,Comcast,Other
2052,Why Am I Paying For This ?,Billing
2053,Comcast Service Complaint,Network
2054,Complaint About Comcast,Grievance
2055,Comcast Complaint,Grievance
2056,Comcast Is Inaccurately Measuring Bandwidth Consumption.,Billing
2057,Data Capping And Lack Of Options In Tucson Az,Network
2058,Poor Internet Service,Internet
2059,Comcast Is Changing My Paper Bill To Ecobill Without My Consent,Billing
2060,"Internet ""Overage"" Charges",Internet
2061,Improper Billing/Services,Billing
2062,Data Caps,Network
2063,Data Caps,Network
2064,"Comcast ""Unlimited"" Internet Access Recently Limited To 300Gb Per Month",Internet
2065,Deceptive Advertising,Other
2066,Comcast Data Cap/Meter,Network
2067,Data Cap,Network
2068,Comcast Data Meter/Cap,Network
2069,Comcast Service And Billing,Billing
2070,Data Limits,Network
2071,Tucson Comcast Data Caps On Internet Service,Internet
2072,Data Cap,Network
2073,Home Internet Data Caps,Internet
2074,Comcast Falsely Claims Service Is Provided In Neighborhood,Network
2075,Data Usage Cap With Comcast Xfinity,Network
2076,Comcast Monopoly,Other
2077,Comcast Data Usage Plan Trial,Network
2078,Comcast Slowing Internet Speeds Intentionally,Internet
2079,Xfinity Data Caps,Network
2080,Comcast Data Caps And Throttling,Internet
2081,Increased Monthly Fee On 3 Year Contract,Billing
2082,Installation Fee,Billing
2083,Comcast Issues Don'T Get Resolved,Other
2084,Data Cap,Network
2085,Shitty Comcast,Other
2086,Shitty Comcast Service,Network
2087,Terrible Pricing For Only One Viable Option,Billing
2088,Unfair Billing Practice And Services,Billing
2089,Pay 2500 For Cable Line,Internet
2090,Inability To Get Service Transferred,Network
2091,Poor Service Or No Service,Network
2092,Access To Service,Internet
2093,Speed Consistently 1/25 Of Speed Paid For,Internet
2094,Comcast Throttling Internet,Internet
2095,Slow Internet,Internet
2096,Comcast Internet Service,Internet
2097,Incorrect Billing,Billing
2098,Comcast Xfinity,Other
2099,Comcast Fraudulent Charges,Billing
2100,Re: Unfair Billing Practices Complaints Against Comcast,Billing
2101,My Comcast Bill For Internet/Cable/Phone Service,Internet
2102,Monopolist Power Of Comcast In My Service Area,Network
2103,Comcast/Xfinity Communication,Other
2104,No Internet,Internet
2105,"Comcast-Non Existent Customer Service, Terrible Internet Connection",Internet
2106,Slow Download And Upload Speeds,Internet
2107,Repeatedly Have Been Promised Installations Without Anyone Arriving Or Notifying,Other
2108,Comcast Internet,Internet
2109,Internet Speeds Are Wacko,Internet
2110,Unresolved Comcast Fraudulent Billing,Billing
2111,Comcast Internet Service,Internet
2112,Comcast Email Acess,Email
2113,Internet Service Loses Signal,Internet
2114,Comcast Bill,Billing
2115,"Horrible Customer Service, Bad Service",Network
2116,"Comcast (No Service, Hung Up On, 3 In Person Attempts By Technician And All Were No Show With No Call Back)",Network
2117,Inexplicable Disconnection & Subsequent Mishandling,Internet
2118,Comcast: Billing Issue,Billing
2119,Comcast Internet Service,Internet
2120,Billing Complaint,Billing
2121,Credit On Bill And Change Of Service Request,Billing
2122,Internet Speed,Internet
2123,False Sales Offers,Grievance
2124,Incorrect Disclosure,Other
2125,Paying For 50Mb/S And Getting 26Mb/S,Billing
2126,Comcast Misleading Hsi Customers,Network
2127,Throttling Of Comcast Internet Services,Internet
2128,Billing,Billing
2129,Unfair And Monopolistic Billing Practices,Billing
2130,Comcast/Xfinity,Other
2131,Comcast Internet,Internet
2132,Broadband Internet Malfeasance By Comcast,Internet
2133,"Comcast Speeds As Low As 12 Mb/S, Paying For 105 Mb/S And They Wont Figure It Out.",Internet
2134,Lack Of Isp Choice,Internet
2135,Failure To Provide Service While Still Billing,Billing
2136,Slow Internet Speeds,Internet
2137,Monopolies Mean High Prices And Mediocre Service,Billing
2138,Internet Speed,Internet
2139,Complaint #2. No Resolution. Please Help. Thank You.,Grievance
2140,Comcast Is Charging Consumer Too Much,Billing
2141,Comcast Slowing Down Netflix,Other
2142,Comcast Excessive Charge When Cancelling Service,Billing
2143,Fradulent Services,Network
2144,Comcast Refusal Of Service,Network
2145,(Comcast Is Not My Complaint!) Cyber Tele-Marketing Is My Complaint!,Grievance
2146,Comcast Asking For Interstructure Fee,Billing
2147,"Deceptive Trade Practices, False Advertising And Bait And Switch",Network
2148,Billing Issues,Billing
2149,Failure To Show For An Appointment And Lying,Other
2150,Over Sold/ Over Billed For Short Term Services,Billing
2151,Misrepresentation Of Internet Speed,Internet
2152,Comcast Home Security System,Other
2153,Comcast Transfer Of Service Complaint,Network
2154,I Have Been Asking To Speak With A Supervisor Every Day For The Last Five Weeks,Other
2155,"Comcast Is Giving Out Wrong Information, Accusing People And Increasing Equipment Prices, When Contract Says Price Will Stay The Same For 2 Years",Internet
2156,Unauthorized Charges To My Account By Comcast,Billing
2157,Comcast Charge My Own Router As Unreturned Equipment,Internet
2158,Internet Uasge/Overage,Internet
2159,Egregious Fees,Billing
2160,"Cramming, False Internet Promotion, Speed Complaint",Internet
2161,Comcast Data Cap Overage Fees,Billing
2162,Comcast Committing Extortion,Other
2163,Comcast,Other
2164,Overbilled,Billing
2165,Comcast Business Internet,Internet
2166,"Monthly Bill Increased, Service Decreased",Billing
2167,Promised Speeds,Internet
2168,Comcast,Other
2169,Data Caps For Cable Isp;S,Internet
2170,Comcast,Other
2171,Youtube Being Throttled?,Internet
2172,Comcast Xfinity,Other
2173,Internet Speed,Internet
2174,Comcast Will Not Help Us Please Help,Other
2175,Comcast Failing To Show Up To Scheduled Appointment,Other
2176,Comcast Sales People Not Reflect What They Said In The Bill.,Billing
2177,Slow Internet Service,Internet
2178,Internet Provider,Internet
2179,Slow Internet,Internet
2180,Comcast,Other
2181,Comcast Cramming,Network
2182,Over Payment,Billing
2183,Xfinity/Comcast Cable,Internet
2184,Throttling Internet,Internet
2185,Billing Continues For 2 Months After Terminating Service,Billing
2186,Data Usage Caps,Network
2187,Comcast Charges,Billing
2188,Comcast Xfinity Internet Service.,Internet
2189,Comcast,Other
2190,Monopolistic Billing Practices,Billing
2191,Comcast Outage,Outages
2192,Unfair Pricing,Billing
2193,Unreasonable Billing,Billing
2194,"Xfinity Corporate Bullying, Breach Of Contract",Billing
2195,I Am So Fed Up With Comcast,Grievance
2196,Terrible Internet Service From Comcast,Internet
2197,Comcast Cramming Services I Didn'T Ask For To Raise My Bill,Billing
2198,Comcast Over Charge,Billing
2199,Charged For No Seevice,Billing
2200,Comcast Xfintity Internet Data Caps,Internet
2201,Miss Represented And Over Charged Now,Billing
2202,Comcst Data Cap,Network
2203,Inconsistent And Intermittent Internet Connectivity,Internet
2204,Comcast Will Not Refund Or Reimburse Significant Overcharges They Admit To,Billing
2205,Lied To About Install Costs,Billing
2206,Issues With Comcast Billing And Equipment,Internet
2207,Comcast Internet,Internet
2208,Comcast Cap,Network
2209,False Advertising/Bait And Switch,Network
2210,"Comcast Customer Service, And Billing Issues",Billing
2211,Comcast,Other
2212,Internet Services,Internet
2213,I Had Sent Out A Check Payment Comcast,Billing
2214,Comcast Internet Service Quality,Internet
2215,Comcast Unfair Pricing,Billing
2216,High Internet & Cable Bill,Internet
2217,Problems With Internet Service,Internet
2218,"Speed Throttling, Speeds Not At Promised Output",Internet
2219,Service Availability,Network
2220,Comcast Monthly Billing For Returned Modem,Internet
2221,Complaint About Comcast,Grievance
2222,Extremely Unsatisfied Comcast Customer,Network
2223,"Comcast, Ypsilanti Mi Internet Speed",Internet
